marker,type,authors,title,volume,publisher,year,pages,occurrence_count,parse_confidence,raw_text
*,editorial,,,,,,,0,,* 基金项目：中央高校基本科研业务经费项目“长江文化暨中华传统文化研究”（编号：0106191051）
①,citation,陆羽(author)；陆廷灿(author),茶经 续茶经,,三秦出版社,2005,第71页,40,high,①（唐）陆羽、（清）陆廷灿著，乙力编：《茶经 续茶经》卷上，三秦出版社2005年版，第71页。
②,citation,孟元老等(author),东京梦华录 都城纪胜 西湖老人繁胜录 梦梁录 武林旧事,卷16,中国商业出版社,1982,第139页,36,high,②（宋）孟元老等：《东京梦华录 都城纪胜 西湖老人繁胜录 梦梁录 武林旧事》卷16，中国商业出版社1982年版，第139页
③,citation,王子龙(author)；郑志强(author),宋代茶叶专卖管理制度及其演变；江西财经大学学报,,,2003,,28,medium,③ 王子龙、郑志强：《宋代茶叶专卖管理制度及其演变》，《江西财经大学学报》2003年第3期；黄纯艳：《论宋代茶法的地区差异》，《云南社会科学》2001年第5期。
④,citation,贾大泉(author),宋代四川地区的茶业和茶政；历史研究,,,1980,,24,medium,④ 贾大泉：《宋代四川地区的茶业和茶政》，《历史研究》1980年第4期；方健：《唐宋茶产地和产量考》，《中国经济史研究》1993年第2期。
⑤,citation,黎世英(author),宋代茶叶在军事边防上的作用；农业考古,,,1994,,20,medium,⑤ 黎世英：《宋代茶叶在军事边防上的作用》，《农业考古》1994年第2期；孙洪升：《论唐宋时期茶业经济发展与社会变迁》，《思想战线》2006年第5期；王晓燕：《宋代官营茶马贸易兴起的原因分析》，《中国藏学》2008年第3期。
⑥,citation,周方高(author)；彭露(author),宋代湖南地区的茶业经济研究；中国农史,,,2016,,14,medium,⑥ 周方高、彭露：《宋代湖南地区的茶业经济研究》，《中国农史》2016年第4期；蒲应秋：《唐宋时期西南地区的茶业研究》，《中国经济史研究》2019年第4期。
⑦,citation,,宋史,卷88,,1985,第2194页,6,medium,⑦《宋史》卷88，中华书局1985年版，第2194页。
⑧,citation,,宋史,卷88,,1985,第2183页,6,medium,⑧《宋史》卷88，中华书局1985年版，第2183页。
⑨,citation,,宋史,卷184,,1985,第4495页,4,medium,⑨《宋史》卷184，中华书局1985年版，第4495页。
⑩,citation,马端临(author),文献通考,卷18,,2011,第504页,2,high,⑩（元）马端临：《文献通考》卷18，上海师范大学古籍整理研究所，华东师范大学古籍研究所点校，中华书局2011年版，第504页。
