citation_id,footnote_marker,source_type,authors,title,journal,year,issue,publisher,volume,pages,occurrence_count,metadata_status,raw_text
①-1,①,book_or_historical_text,陆羽；陆廷灿著；乙力,茶经 续茶经,,2005,,三秦出版社,,第71页,40,needs_api_lookup,（唐）陆羽、（清）陆廷灿著，乙力编：《茶经 续茶经》卷上，三秦出版社2005年版，第71页。
②-1,②,book_or_historical_text,孟元老,东京梦华录 都城纪胜 西湖老人繁胜录 梦梁录 武林旧事,,1982,,中国商业出版社,卷16,第139页,36,needs_api_lookup,（宋）孟元老等：《东京梦华录 都城纪胜 西湖老人繁胜录 梦梁录 武林旧事》卷16，中国商业出版社1982年版，第139页
③-1,③,journal_article,王子龙；郑志强,宋代茶叶专卖管理制度及其演变,江西财经大学学报,2003,3,,,,28,needs_api_lookup,王子龙、郑志强：《宋代茶叶专卖管理制度及其演变》，《江西财经大学学报》2003年第3期
③-2,③,journal_article,黄纯艳,论宋代茶法的地区差异,云南社会科学,2001,5,,,,28,needs_api_lookup,黄纯艳：《论宋代茶法的地区差异》，《云南社会科学》2001年第5期。
④-1,④,journal_article,贾大泉,宋代四川地区的茶业和茶政,历史研究,1980,4,,,,24,needs_api_lookup,贾大泉：《宋代四川地区的茶业和茶政》，《历史研究》1980年第4期
④-2,④,journal_article,方健,唐宋茶产地和产量考,中国经济史研究,1993,2,,,,24,needs_api_lookup,方健：《唐宋茶产地和产量考》，《中国经济史研究》1993年第2期。
⑤-1,⑤,journal_article,黎世英,宋代茶叶在军事边防上的作用,农业考古,1994,2,,,,20,needs_api_lookup,黎世英：《宋代茶叶在军事边防上的作用》，《农业考古》1994年第2期
⑤-2,⑤,journal_article,孙洪升,论唐宋时期茶业经济发展与社会变迁,思想战线,2006,5,,,,20,needs_api_lookup,孙洪升：《论唐宋时期茶业经济发展与社会变迁》，《思想战线》2006年第5期
⑤-3,⑤,journal_article,王晓燕,宋代官营茶马贸易兴起的原因分析,中国藏学,2008,3,,,,20,needs_api_lookup,王晓燕：《宋代官营茶马贸易兴起的原因分析》，《中国藏学》2008年第3期。
⑥-1,⑥,journal_article,周方高；彭露,宋代湖南地区的茶业经济研究,中国农史,2016,4,,,,14,needs_api_lookup,周方高、彭露：《宋代湖南地区的茶业经济研究》，《中国农史》2016年第4期
⑥-2,⑥,journal_article,蒲应秋,唐宋时期西南地区的茶业研究,中国经济史研究,2019,4,,,,14,needs_api_lookup,蒲应秋：《唐宋时期西南地区的茶业研究》，《中国经济史研究》2019年第4期。
⑦-1,⑦,book_or_historical_text,,宋史,,1985,,,卷88,第2194页,6,needs_api_lookup,《宋史》卷88，中华书局1985年版，第2194页。
⑧-1,⑧,book_or_historical_text,,宋史,,1985,,,卷88,第2183页,6,needs_api_lookup,《宋史》卷88，中华书局1985年版，第2183页。
⑨-1,⑨,book_or_historical_text,,宋史,,1985,,,卷184,第4495页,4,needs_api_lookup,《宋史》卷184，中华书局1985年版，第4495页。
⑩-1,⑩,book_or_historical_text,马端临,文献通考,,2011,,,卷18,第504页,2,needs_api_lookup,（元）马端临：《文献通考》卷18，上海师范大学古籍整理研究所，华东师范大学古籍研究所点校，中华书局2011年版，第504页。
